education_level,total_people,unemployed,unemployment_rate
25,58,57,98.3
20,106,104,98.1
24,241,234,97.1
23,1216,1180,97.0
28,215,207,96.3
26,858,817,95.2
31,159,151,95.0
22,606,575,94.9
21,58,55,94.8
27,91,86,94.5
29,133,125,94.0
19,158,146,92.4
12,7907,7243,91.6
16,126,112,88.9
17,88,73,83.0
18,76,60,78.9
15,53,41,77.4
11,5187,4014,77.4
10,4181,3130,74.9
98,7065,5059,71.6
14,28,20,71.4
13,1301,861,66.2
30,132,87,65.9
8,2733,1633,59.8
9,2753,1641,59.6
7,2513,1358,54.0
6,1976,812,41.1
5,1795,632,35.2
4,1790,571,31.9
3,1551,379,24.4
2,1407,261,18.6
1,1279,144,11.3
0,1150,28,2.4
